[1, 'John Lasseter', '$30,000,000 (estimated)', '$394,436,586', '1 hour 21 minutes']
[2, 'Joe Johnston', '$65,000,000 (estimated)', '$262,821,940', '1 hour 44 minutes']
[3, 'Howard Deutch', '$25,000,000 (estimated)', '$71,518,503', '1 hour 41 minutes']
[4, 'Forest Whitaker', '$16,000,000 (estimated)', '$81,452,156', '2 hours 4 minutes']
[5, 'Charles Shyer', '$30,000,000 (estimated)', '$76,594,107', '1 hour 46 minutes']
[6, 'Michael Mann', '$60,000,000 (estimated)', '$187,436,818', '2 hours 50 minutes']
[7, 'Sydney Pollack', '$58,000,000 (estimated)', '$53,696,959', '2 hours 7 minutes']
[8, 'Peter Hewitt', 2, '$23,920,048', '1 hour 37 minutes']
[9, 'Peter Hyams', '$35,000,000 (estimated)', '$64,350,171', '1 hour 51 minutes']
[10, 'Martin Campbell', '$60,000,000 (estimated)', '$352,194,034', '2 hours 10 minutes']
[11, 'Rob Reiner', '$62,000,000 (estimated)', '$107,879,496', '1 hour 54 minutes']
[12, 'Mel Brooks', '$30,000,000 (estimated)', '$10,772,144', '1 hour 28 minutes']
[13, 'Simon Wells', 2, '$11,349,090', '1 hour 18 minutes']
[14, 'Oliver Stone', '$44,000,000 (estimated)', '$13,681,765', '3 hours 12 minutes']
[15, 'Renny Harlin', '$98,000,000 (estimated)', '$10,017,322', '2 hours 4 minutes']
[16, 'Martin Scorsese', '$52,000,000 (estimated)', '$116,112,375', '2 hours 58 minutes']
[17, 'Ang Lee', '$16,000,000 (estimated)', '$134,582,776', '2 hours 16 minutes']
[18, 'sAllison AndersAlexandre RockwellRobert Rodriguez', '$4,000,000 (estimated)', '$4,257,354', '1 hour 38 minutes']
[19, 'Steve Oedekerk', '$30,000,000 (estimated)', '$212,385,533', '1 hour 30 minutes']
[20, 'Joseph Ruben', '$68,000,000 (estimated)', '$35,431,113', '1 hour 50 minutes']
[21, 'Barry Sonnenfeld', '$30,250,000 (estimated)', '$115,101,622', '1 hour 45 minutes']
[22, 'Jon Amiel', '$20,000,000 (estimated)', '$32,051,917', '2 hours 3 minutes']
[23, 'Richard Donner', '$50,000,000 (estimated)', '$30,303,072', '2 hours 13 minutes']
[24, 'Victor Salva', '$9,500,000 (estimated)', '$30,862,156', '1 hour 51 minutes']
[25, " Mike Figgis contemplated abandoning the project, but decided the film would make a good memorial for O'Brien.", '$3,600,000 (estimated)', '$32,029,928', '1 hour 51 minutes']
[26, 'Oliver Parker', '$11,000,000 (estimated)', '$2,844,379', '2 hours 3 minutes']
[27, 'Lesli Linka Glatter', 2, '$37,591,674', '1 hour 42 minutes']
[28, 'Roger Michell', '£1,000,000 (estimated)', '$5,269,757', '1 hour 43 minutes']
[29, 'sMarc CaroJean-Pierre Jeunet', '$18,000,000 (estimated)', '$1,783,616', '1 hour 52 minutes']
[30, 'Yimou Zhang', 2, '$2,086,101', '1 hour 48 minutes']
[31, 'John N. Smith', '$23,000,000 (estimated)', '$179,519,401', '1 hour 39 minutes']
[32, 'Terry Gilliam', '$29,000,000 (estimated)', '$168,839,459', '2 hours 9 minutes']
[34, 'Chris Noonan', '$30,000,000 (estimated)', '$254,134,910', '1 hour 31 minutes']
[36, 'Tim Robbins', '$11,000,000 (estimated)', '$39,363,635', '2 hours 2 minutes']
[38, 'Andy Tennant', 2, '$19,474,589', '1 hour 41 minutes']
[39, 'Amy Heckerling', '$12,000,000 (estimated)', '$56,698,025', '1 hour 37 minutes']
[40, 'Darrell Roodt', 2, '$670,727', '1 hour 46 minutes']
[41, 'Richard Loncraine', '£6,000,000 (estimated)', '$2,748,518', '1 hour 44 minutes']
[42, 'sAlbert HughesAllen Hughes', '$10,000,000 (estimated)', '$24,147,179', '1 hour 59 minutes']
[43, 'Michael Hoffman', '$19,000,000 (estimated)', '$4,005,941', '1 hour 57 minutes']
[44, 'Paul W.S. Anderson', '$18,000,000 (estimated)', '$122,195,920', '1 hour 41 minutes']
[45, 'Gus Van Sant', '$20,000,000 (estimated)', '$21,286,518', '1 hour 46 minutes']
[46, 'Jocelyn Moorhouse', '$10,000,000 (estimated)', '$41,200,020', '1 hour 57 minutes']
[47, 'David Fincher', '$33,000,000 (estimated)', '$328,326,948', '2 hours 7 minutes']
[48, 'sMike GabrielEric Goldberg', '$55,000,000 (estimated)', '$346,079,773', '1 hour 21 minutes']
[49, 'Patricia Rozema', 2, '$919,671', '1 hour 34 minutes']
[50, 'Bryan Singer', '$6,000,000 (estimated)', '$23,341,568', '1 hour 46 minutes']
[52, 'Woody Allen', '$15,000,000 (estimated)', '$6,468,498', '1 hour 35 minutes']
[53, 'Gianni Amelio', 2, '$4,788,331', '1 hour 56 minutes']
[54, 'Holly Goldberg Sloan', '$12,000,000 (estimated)', '$17,736,619', '1 hour 40 minutes']
[55, 'Ulu Grosbard', 2, '$1,110,104', '1 hour 55 minutes']
[57, 'Jodie Foster', '$20,000,000 (estimated)', '$17,519,169', '1 hour 43 minutes']
[58, 'sMichael RadfordMassimo Troisi', '$3,000,000 (estimated)', '$21,898,920', '1 hour 48 minutes']
[60, 'Frank Oz', '$45,000,000 (estimated)', '$35,656,131', '1 hour 36 minutes']
[61, 'John Schlesinger', '$20,000,000 (estimated)', '$26,877,589', '1 hour 41 minutes']
[62, 'Stephen Herek', '$23,000,000 (estimated)', '$106,269,971', '2 hours 24 minutes']
